0:0:0:0:0:0:0:1 - - [12/May/2025:16:07:49 +0700] "GET /SICT-portal/admin?action=searchClassroomListByStudentID&studentID=SV_0030 HTTP/1.1" 200 1609
0:0:0:0:0:0:0:1 - - [12/May/2025:16:07:56 +0700] "GET /SICT-portal/admin?action=searchClassroomListByStudentID&studentID=SV_0030 HTTP/1.1" 200 1609
0:0:0:0:0:0:0:1 - - [12/May/2025:16:08:13 +0700] "GET /SICT-portal/admin?action=searchClassroomListByStudentID&studentID=SV_0004 HTTP/1.1" 200 1609
0:0:0:0:0:0:0:1 - - [12/May/2025:16:25:55 +0700] "GET /SICT-portal/admin?action=d%C3%A1 HTTP/1.1" 200 6858
0:0:0:0:0:0:0:1 - - [12/May/2025:16:25:59 +0700] "GET /SICT-portal/admin?action=accountList HTTP/1.1" 200 96292
0:0:0:0:0:0:0:1 - - [12/May/2025:16:25:59 +0700] "GET /SICT-portal/admin?action=dashboard HTTP/1.1" 200 6865
0:0:0:0:0:0:0:1 - - [12/May/2025:16:26:03 +0700] "GET /SICT-portal/admin?action=studentList HTTP/1.1" 200 94070
0:0:0:0:0:0:0:1 - - [12/May/2025:16:44:26 +0700] "GET /SICT-portal/admin?action=studentList HTTP/1.1" 200 94070
0:0:0:0:0:0:0:1 - - [12/May/2025:16:44:27 +0700] "GET /SICT-portal/admin?action=studentList HTTP/1.1" 200 94070
0:0:0:0:0:0:0:1 - - [12/May/2025:16:44:28 +0700] "GET /SICT-portal/admin?action=studentList HTTP/1.1" 200 94070
0:0:0:0:0:0:0:1 - - [12/May/2025:16:44:53 +0700] "GET /SICT-portal/admin?action=studentList HTTP/1.1" 200 122223
0:0:0:0:0:0:0:1 - - [12/May/2025:16:45:07 +0700] "GET /SICT-portal/admin?action=deleteStudentForm&studentID=SV_0010 HTTP/1.1" 200 95815
0:0:0:0:0:0:0:1 - - [12/May/2025:16:47:00 +0700] "GET /SICT-portal/admin?action=studentList HTTP/1.1" 200 122159
0:0:0:0:0:0:0:1 - - [12/May/2025:16:47:13 +0700] "GET /SICT-portal/admin?action=updateStudentForm&studentID=SV_0006 HTTP/1.1" 200 97154
0:0:0:0:0:0:0:1 - - [12/May/2025:16:47:16 +0700] "GET /SICT-portal/admin?action=deleteStudentForm&studentID=SV_0004 HTTP/1.1" 200 95815
0:0:0:0:0:0:0:1 - - [12/May/2025:16:47:20 +0700] "GET /SICT-portal/admin?action=addStudentForm HTTP/1.1" 200 97232
0:0:0:0:0:0:0:1 - - [12/May/2025:16:47:23 +0700] "GET /SICT-portal/admin?action=addStudentForm HTTP/1.1" 200 97232
0:0:0:0:0:0:0:1 - - [12/May/2025:16:47:28 +0700] "GET /SICT-portal/admin?action=searchStudent&studentID=SV_0001 HTTP/1.1" 200 11483
0:0:0:0:0:0:0:1 - - [12/May/2025:16:47:32 +0700] "GET /SICT-portal/admin?action=searchStudent&studentID=SV_0031 HTTP/1.1" 200 11469
0:0:0:0:0:0:0:1 - - [12/May/2025:16:47:36 +0700] "GET /SICT-portal/admin?action=searchStudent&studentID=SV_0032 HTTP/1.1" 200 11471
0:0:0:0:0:0:0:1 - - [12/May/2025:16:47:39 +0700] "GET /SICT-portal/admin?action=searchStudent&studentID=SV_0033 HTTP/1.1" 200 122284
0:0:0:0:0:0:0:1 - - [12/May/2025:16:47:41 +0700] "GET /SICT-portal/admin?action=studentList HTTP/1.1" 200 122159
0:0:0:0:0:0:0:1 - - [12/May/2025:16:50:20 +0700] "GET /SICT-portal/admin?action=dashboard HTTP/1.1" 200 6865
0:0:0:0:0:0:0:1 - - [12/May/2025:16:50:21 +0700] "GET /SICT-portal/admin?action=studentList HTTP/1.1" 200 122575
0:0:0:0:0:0:0:1 - - [12/May/2025:16:50:23 +0700] "GET /SICT-portal/admin?action=searchClassroomListByStudentID&studentID=SV_0001 HTTP/1.1" 200 4174
0:0:0:0:0:0:0:1 - - [12/May/2025:16:50:29 +0700] "GET /SICT-portal/admin?action=searchClassroomListByStudentID&studentID=SV_0002 HTTP/1.1" 200 4174
0:0:0:0:0:0:0:1 - - [12/May/2025:16:50:32 +0700] "GET /SICT-portal/admin?action=searchClassroomListByStudentID&studentID=SV_0003 HTTP/1.1" 200 5063
